prototipo,operador,run,flight time 1,flight time 2,flight time 3
1,1,1,1.29,1.35,1.27
1,1,2,1.36,1.19,1.29
1,1,3,1.32,1.43,1.38
1,1,4,1.27,1.27,1.19
1,1,5,1.10,1.32,1.22
2,1,1,1.22,1.38,1.35
2,1,2,1.32,1.21,1.31
2,1,3,1.32,1.15,1.30
2,1,4,1.20,1.37,1.23
2,1,5,1.42,1.24,1.24
3,1,1,1.30,1.37,1.29
3,1,2,1.28,1.30,1.27
3,1,3,1.37,1.33,1.34
3,1,4,1.38,1.33,1.30
3,1,5,1.40,1.35,1.16
4,1,1,1.20,1.18,1.28
4,1,2,1.25,1.19,1.39
4,1,3,1.18,1.20,1.18
4,1,4,1.27,1.31,1.19
4,1,5,1.24,1.20,1.25
1,2,1,1.19,1.19,1.30
1,2,2,1.28,1.38,1.22
1,2,3,1.18,1.25,1.19
1,2,4,1.22,1.22,1.25
1,2,5,1.23,1.2,1.35
2,2,1,1.26,1.29,1.27
2,2,2,1.3,1.16,1.18
2,2,3,1.23,1.22,1.32
2,2,4,1.32,1.14,1.14
2,2,5,1.27,1.22,1.18
3,2,1,1.33,1.16,1.27
3,2,2,1.29,1.18,1.2
3,2,3,1.11,1.37,1.22
3,2,4,1.29,1.22,1.15
3,2,5,1.25,1.29,1.23
4,2,1,1.26,1.2,1.1
4,2,2,1.24,1.15,1.17
4,2,3,1.20,1.15,1.25
4,2,4,1.17,1.32,1.34
4,2,5,1.19,1.23,1.33
